transaction_id,user_id_from,user_id_to,date,value
22,782490,782491,2013-04-10 14:22:50,100.0
22,782490,782490,2013-04-10 14:22:50,0.66531339
23,1626087,1625883,2013-03-21 06:29:56,122.08956913
23,1626087,782490,2013-03-21 06:29:56,15.90843087
24,4961,110871,2013-03-22 01:45:44,0.08405655
24,4961,782490,2013-03-22 01:45:44,3.0
25,1595013,110587,2013-03-22 05:27:42,9.57715303
25,1595013,782490,2013-03-22 05:27:42,20.0
26,1581977,1580703,2013-03-22 16:33:23,64.398
26,1581977,782490,2013-03-22 16:33:23,20.0
27,1566859,1566582,2013-03-23 05:12:07,35.76166381
27,1566859,782490,2013-03-23 05:12:07,10.0
28,1441465,1440831,2013-03-27 14:46:23,18.75688158
28,1441465,782490,2013-03-27 14:46:23,5.0
29,1440812,1437512,2013-03-27 15:12:22,77.07119184
29,1440812,782490,2013-03-27 15:12:22,5.0
30,4961,1416483,2013-03-28 06:38:51,0.69616136
30,4961,782490,2013-03-28 06:38:51,10.0
31,85383,84334,2013-03-28 18:11:58,0.3459467
31,85383,782490,2013-03-28 18:11:58,10.0
32,7383,9,2013-04-10 03:12:31,10.0
32,7383,835413,2013-04-10 03:12:31,1.1185
33,9,782493,2013-04-10 14:22:50,50.0
34,3994111,38309,2012-12-01 17:14:23,0.1
34,3994111,2804,2012-12-01 17:14:23,0.3
34,3994111,9,2012-12-01 17:14:23,2.0
34,3994111,11594,2012-12-01 17:14:23,0.1
34,3994111,4558,2012-12-01 17:14:23,0.2
34,3994111,864070,2012-12-01 17:14:23,0.1
34,3994111,11,2012-12-01 17:14:23,0.4
34,3994111,957723,2012-12-01 17:14:23,0.2
34,3994111,3994036,2012-12-01 17:14:23,6.15924672
34,3994111,5315,2012-12-01 17:14:23,0.1
34,3994111,11,2012-12-01 17:14:23,1.0
34,3994111,9306,2012-12-01 17:14:23,0.1
34,3994111,2402,2012-12-01 17:14:23,0.1
35,532,3707,2012-11-26 13:18:27,1.0
35,532,44088,2012-11-26 13:18:27,0.1
35,532,13894,2012-11-26 13:18:27,0.1
35,532,4297,2012-11-26 13:18:27,0.2
35,532,11,2012-11-26 13:18:27,0.1
35,532,72154,2012-11-26 13:18:27,1.0
35,532,3627,2012-11-26 13:18:27,0.1
35,532,2655,2012-11-26 13:18:27,0.2
35,532,80737,2012-11-26 13:18:27,1.0
35,532,3184,2012-11-26 13:18:27,1.0
35,532,5031,2012-11-26 13:18:27,1.0
35,532,20,2012-11-26 13:18:27,3.0
35,532,19650,2012-11-26 13:18:27,2.0
35,532,1666,2012-11-26 13:18:27,0.1
35,532,4053225,2012-11-26 13:18:27,0.143
35,532,11297,2012-11-26 13:18:27,1.5
35,532,9,2012-11-26 13:18:27,2.0
35,532,142694,2012-11-26 13:18:27,0.2
35,532,2423,2012-11-26 13:18:27,0.1
35,532,10165,2012-11-26 13:18:27,0.2
35,532,4718,2012-11-26 13:18:27,0.1
35,532,3888,2012-11-26 13:18:27,0.1
35,532,6689,2012-11-26 13:18:27,1.0
35,532,58109,2012-11-26 13:18:27,1.0
35,532,878019,2012-11-26 13:18:27,0.5
35,532,353726,2012-11-26 13:18:27,0.1
35,532,3377,2012-11-26 13:18:27,0.2
35,532,8510,2012-11-26 13:18:27,0.1
35,532,11,2012-11-26 13:18:27,2.0
35,532,11,2012-11-26 13:18:27,0.1
35,532,11,2012-11-26 13:18:27,10.0
35,532,4069,2012-11-26 13:18:27,7.0
35,532,108315,2012-11-26 13:18:27,0.5
35,532,4116,2012-11-26 13:18:27,0.7
35,532,964022,2012-11-26 13:18:27,0.1
35,532,37297,2012-11-26 13:18:27,1.0
35,532,7071,2012-11-26 13:18:27,0.1
35,532,2660,2012-11-26 13:18:27,10.0
35,532,5315,2012-11-26 13:18:27,0.1
35,532,29230,2012-11-26 13:18:27,0.1
35,532,4053602,2012-11-26 13:18:27,0.1
35,532,2402,2012-11-26 13:18:27,0.1
36,532,6999,2012-12-19 13:11:53,5.0
36,532,3627,2012-12-19 13:11:53,0.1
36,532,28361,2012-12-19 13:11:53,0.1
36,532,811208,2012-12-19 13:11:53,2.0
36,532,5031,2012-12-19 13:11:53,0.5
36,532,3779239,2012-12-19 13:11:53,0.2915
36,532,928683,2012-12-19 13:11:53,1.0
36,532,20,2012-12-19 13:11:53,1.0
36,532,36021,2012-12-19 13:11:53,1.3
36,532,1666,2012-12-19 13:11:53,0.1
36,532,9,2012-12-19 13:11:53,2.0
36,532,11,2012-12-19 13:11:53,1.0
36,532,3887,2012-12-19 13:11:53,1.0
36,532,196868,2012-12-19 13:11:53,0.1
36,532,8510,2012-12-19 13:11:53,0.1
36,532,4068,2012-12-19 13:11:53,0.5
