"field_name",count
SensorPool,804
"Sent UpdateServer",74
SerialNumber,1530
Server,4
ServerErrorMessage,162
ServerName,48282
ServerNameLength,48282
ServiceName,96642
ServiceSid,93620
ServiceType,1710
ServiceVersion,156
Session,2744
Session0InitDuration,284
Session1InitDuration,284
SessionID,22
SessionId,48428
SessionInitOtherDuration,284
SessionInitStartTimeMS,284
SessionName,580
SessionTimeElapsedInMilliseconds,1160
Setting,26
SettingType,432
SettingValue,432
SettingValueDisplay,432
SettingValueSize,432
Settings,248
ShimCount,364
ShimSource,364
ShutdownActionType,138
ShutdownEndTime,164
ShutdownEventCode,138
ShutdownIsDegradation,164
ShutdownKernelTime,164
ShutdownPreShutdownNotificationsTime,164
ShutdownReason,138
ShutdownRootCauseGradualDegradationBits,164
ShutdownRootCauseGradualImprovementBits,164
ShutdownRootCauseStepDegradationBits,164
ShutdownRootCauseStepImprovementBits,164
ShutdownServicesTime,164
ShutdownStartTime,164
ShutdownSystemSessionsTime,164
ShutdownTime,164
ShutdownTimeChange,164
ShutdownTsVersion,164
ShutdownUserPolicyTime,164
ShutdownUserProfilesTime,164
ShutdownUserSessionTime,164
Sid,7428
SidHistory,3136
SidLength,7428
Signature,54
"Signature Type",1630
"Signature Type Index",1630
SignatureStatus,54
Signed,54
SleepInProgress,24
Smb2Command,39680
SocketError,24
Source,108678
"Source Path",1272
SourceFile,1032
SourceFolderPath,228
SourceHostname,347638
SourceImage,198
SourceIp,347638
SourceIsIpv6,347638
SourceLine,1032
SourcePort,347638
SourcePortName,347638
SourceProcessGuid,198
SourceProcessId,198
SourceTag,1032
SrbStatus,1124
StandbyAppCount,8
StandbyDevicesCount,8
StandbyEndTime,8
StandbyIsDegradation,8
StandbyIsRootCauseIdentified,8
StandbyIsTroubleshooterLaunched,8
StandbyResumeHibernateRead,8
StandbyResumeHibernateReadChange,8
StandbyResumeResumeDevices,8
StandbyResumeResumeDevicesChange,8
StandbyResumeS3BiosInitTime,8
StandbyResumeS3BiosInitTimeChange,8
StandbyResumeTotal,8
StandbyResumeTotalChange,8
StandbyRootCauseDegradationGradual,8
StandbyRootCauseDegradationStep,8
StandbyRootCauseImprovementGradual,8
StandbyRootCauseImprovementStep,8
StandbyServicesCount,8
StandbyStartTime,8
StandbySuspendApps,8
StandbySuspendAppsChange,8
StandbySuspendFlushVolumes,8
StandbySuspendFlushVolumesChange,8
StandbySuspendHibernateWrite,8
StandbySuspendHibernateWriteChange,8
StandbySuspendLockPageableSections,8
StandbySuspendLockPageableSectionsChange,8
StandbySuspendPreSleepCallbacks,8
StandbySuspendPreSleepCallbacksChange,8
StandbySuspendQueryApps,8
StandbySuspendQueryAppsChange,8
StandbySuspendQueryDevices,8
StandbySuspendQueryDevicesChange,8
StandbySuspendQueryServices,8
StandbySuspendQueryServicesChange,8
StandbySuspendServices,8
StandbySuspendServicesChange,8
StandbySuspendShowUI,8
StandbySuspendShowUIChange,8
StandbySuspendSuperfetchPageIn,8
StandbySuspendSuperfetchPageInChange,8
StandbySuspendSuspendDevices,8
